Object_ID,Name,Magnitude,Region,Network,Land Borders,Maritime Borders
254,United States,9,North America,United States,Canada; Mexico,Bahamas; Cuba
3,Alaska,6,Eastern Europe,United States,Canada,Russia
110,Hawaiian Islands,6,Eastern Oceania,United States,,
198,Puerto Rico & US Virgin Islands,6,Northern Caribbean,United States,,"Dominican Republic; Venezuela; Anguilla & British Virgin Islands; Saba, Sint Eustatius, & Sint Maarten"
155,Mariana Islands,5,Southeast Asia,United States,,Japan; Micronesia
6,American Samoa,4,Eastern Oceania,United States,,"Samoa; Tonga; Cook Islands, Niue, & Tokelau"
113,Howland and Baker Islands,0,Eastern Oceania,United States,,Phoenix Islands
126,Jarvis Island,0,Eastern Oceania,United States,,Line Islands
127,Johnston Atoll,0,Eastern Oceania,United States,,
134,Kingman Reef and Palmyra Atoll,0,Eastern Oceania,United States,,Line Islands
261,Wake Island,0,Western Oceania,United States,,Marshall Islands
253,United Kingdom,8,Northern Europe,United Kingdom,Ireland,Iceland; Faroe Islands; Norway; Denmark; Germany; Netherlands; Belgium; France
32,Bermuda,5,North America,United Kingdom,,
50,Cayman Islands,5,Northern Caribbean,United Kingdom,,Cuba; Jamaica; Honduras
98,Gibraltar,5,Western Europe,United Kingdom,Spain,
11,Anguilla & British Virgin Islands,4,Northern Caribbean,United Kingdom,,"Puerto Rico & US Virgin Islands; Saint Barthelemy & Saint Martin; Saba, Sint Eustatius, & Sint Maarten; Antigua and Barbuda"
40,British Indian Ocean Territory,4,Central Asia,United Kingdom,,Maldives
85,Falkland Islands,4,South America,United Kingdom,,Argentina
244,Tristan da Cunha Island,4,Southern Africa,United Kingdom,,
248,Turks and Caicos Islands,4,Northern Caribbean,United Kingdom,,Bahamas; Haiti; Dominican Republic
166,Montserrat,3,Southern Caribbean,United Kingdom,,Saint Kitts and Nevis; Venezuela; Guadeloupe & Martinique; Antigua and Barbuda
17,Ascension Island,2,Central Africa,United Kingdom,,
207,Saint Helena,2,Central Africa,United Kingdom,,
2,Akrotiri and Dhekelia,1,Northern Middle East,United Kingdom,Cyprus,
194,Pitcairn Islands,0,Eastern Oceania,United Kingdom,,French Polynesia
226,South Georgia and the South Sandwich Islands,0,South America,United Kingdom,,
229,Spain,8,Western Europe,Spain,France; Andorra; Gibraltar; Morocco; Portugal,Algeria; Italy
49,Canary Islands,6,Western Africa,Spain,,Madeira; Morocco
225,South Africa,7,Southern Africa,South Africa,Namibia; Botswana; Zimbabwe; Mozambique; Lesotho; Eswatini,
197,Prince Edward Islands,0,Southern Africa,South Africa,,
203,Russia,8,Eastern Europe,Russia,Norway; Finland; Estonia; Latvia; Belarus; Ukraine; Georgia; Azerbaijan; Kazakhstan; China; Mongolia; North Korea,Romania; Turkey; Japan; Alaska;
129,Kaliningrad,5,Eastern Europe,Russia,Lithuania; Poland,Sweden
196,Portugal,7,Western Europe,Portugal,Spain,Morocco
21,Azores,5,Western Europe,Portugal,,
150,Madeira,5,Western Africa,Portugal,,Canary Islands; Morocco
185,Oman,6,Southern Middle East,Oman,United Arab Emirates; Saudi Arabia; Yemen,Iran; Pakistan
169,Musandam,4,Southern Middle East,Oman,United Arab Emirates,Iran
184,Norway,7,Northern Europe,Norway,Sweden; Finland; Russia,Denmark; United Kingdom; Faroe Islands; Greenland
38,Bouvet Island,0,Southern Africa,Norway,,
124,Jan Mayen,0,Northern Europe,Norway,,Greenland; Iceland
177,New Zealand,7,Western Oceania,New Zealand,,Norfolk Island; Macquarie Island
60,"Cook Islands, Niue, & Tokelau",3,Eastern Oceania,New Zealand,,Tonga; Wallis and Futuna; Samoa; American Samoa; Phoenix Islands; Line Islands; French Polynesia
133,Kermadec Islands,0,Western Oceania,New Zealand,,
175,Netherlands,7,Western Europe,Netherlands,Germany; Belgium,United Kingdom
16,"Aruba, Bonaire, & Curacao",5,Northern Caribbean,Netherlands,,Dominican Republic; Venezuela
205,"Saba, Sint Eustatius, & Sint Maarten",4,Northern Caribbean,Netherlands,Saint Barthelemy & Saint Martin,Anguilla & British Virgin Islands; Puerto Rico & US Virgin Islands; Venezuela; Saint Kitts and Nevis
263,West Malaysia,7,East Asia,Malaysia,Thailand,Indonesia; Singapore; Vietnam
74,East Malaysia,6,Southeast Asia,Malaysia,Brunei; Indonesia,Philippines
99,Gilbert Islands,2,Western Oceania,Kiribati,,Nauru; Tuvalu; Marshall Islands
145,Line Islands,2,Eastern Oceania,Kiribati,,"Cook Islands, Niue, & Tokelau; French Polynesia; Kingman Reef and Palmyra Atoll; Jarvis Island"
193,Phoenix Islands,0,Eastern Oceania,Kiribati,,"Howland and Baker Islands; Cook Islands, Niue, & Tokelau"
125,Japan,8,East Asia,Japan,,Russia; North Korea; South Korea; China; Taiwan; Philippines; Mariana Islands
161,Minami-Tori-Shima,0,Southeast Asia,Japan,,
116,India,8,Central Asia,India,Pakistan; China; Nepal; Bhutan; Bangladesh; Myanmar,Sri Lanka; Maldives
8,Andaman and Nicobar Islands,3,East Asia,India,,Myanmar; Thailand; Indonesia
89,France,8,Western Europe,France,Spain; Andorra; Italy; Switzerland; Monaco; Germany; Luxembourg; Belgium,United Kingdom
201,Reunion & Tromelin Island,6,Southeastern Africa,France,,Mauritius; Madagascar; Seychelles
90,French Guiana,5,Southern Caribbean,France,Suriname; Brazil,
91,French Polynesia,5,Eastern Oceania,France,,"Line Islands; Pitcairn Islands; Cook Islands, Niue, & Tokelau"
104,Guadeloupe & Martinique,5,Southern Caribbean,France,,Antigua and Barbuda; Montserrat; Venezuela; Dominica; Saint Lucia; Barbados
176,New Caledonia,5,Western Oceania,France,,Norfolk Island; Australia; Solomon Islands; Vanuatu; Fiji
100,Glorioso Islands & Mayotte,4,Southeastern Africa,France,,Seychelles; Comoros; Madagascar
206,Saint Barthelemy & Saint Martin,4,Northern Caribbean,France,"Saba, Sint Eustatius, & Sint Maarten",Anguilla & British Virgin Islands; Antigua and Barbuda; Saint Kitts and Nevis
210,Saint Pierre and Miquelon,4,North America,France,,Canada
